group,queue
8,1.0
10,1.0
11,1.3333333333333333
12,2.0
13,2.0
14,2.0
15,2.6666666666666665
16,3.0
17,3.3333333333333335
18,4.0
19,4.0
20,4.333333333333333
21,4.0
22,4.0
23,4.0
24,4.0
25,4.0
26,4.333333333333333
27,4.0
28,4.0
29,4.333333333333333
30,2.3333333333333335
31,1.0
32,1.3333333333333333
33,1.0
34,1.6666666666666667
35,2.6666666666666665
36,3.0
37,3.3333333333333335
38,3.0
39,2.6666666666666665
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,2.6666666666666665
49,3.6666666666666665
50,3.0
51,2.0
52,2.0
53,2.0
54,2.0
55,2.6666666666666665
56,3.0
57,4.0
58,4.666666666666667
59,5.333333333333333
60,5.0
61,5.0
62,5.0
63,5.333333333333333
64,5.0
65,5.333333333333333
66,7.333333333333333
67,8.666666666666666
68,9.0
69,8.666666666666666
70,6.0
71,3.3333333333333335
72,3.0
73,3.3333333333333335
74,3.0
75,3.0
76,3.3333333333333335
77,3.3333333333333335
78,3.0
79,3.3333333333333335
80,1.5
81,1.0
82,1.0
83,1.0
84,1.3333333333333333
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
101,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,2.0
110,2.0
111,2.0
112,2.0
113,2.0
114,2.0
115,2.0
116,3.0
117,3.0
118,3.0
119,3.0
120,1.0
122,1.6666666666666667
123,2.6666666666666665
124,2.6666666666666665
125,2.0
126,2.6666666666666665
127,3.0
128,3.0
129,2.6666666666666665
130,1.3333333333333333
131,2.0
132,2.0
133,2.0
134,2.6666666666666665
135,3.0
136,3.3333333333333335
137,3.0
138,3.3333333333333335
139,6.0
140,4.333333333333333
141,4.0
142,4.0
143,4.0
144,4.0
145,4.0
146,4.333333333333333
147,4.333333333333333
148,4.0
149,4.0
150,2.3333333333333335
151,1.0
152,2.3333333333333335
153,4.0
154,5.0
155,6.333333333333333
156,6.333333333333333
157,7.0
158,7.0
159,5.666666666666667
160,2.6666666666666665
161,4.666666666666667
162,5.0
163,5.0
164,5.0
165,5.0
166,5.333333333333333
167,5.0
168,5.333333333333333
169,6.333333333333333
170,4.333333333333333
171,4.0
172,4.0
173,4.0
174,4.0
175,4.0
176,4.0
177,4.333333333333333
178,4.0
179,4.0
180,2.0
181,1.0
183,1.5
184,4.0
185,4.0
186,5.0
187,6.333333333333333
188,6.0
189,4.0
190,4.333333333333333
191,6.0
192,6.333333333333333
193,7.0
194,8.0
195,8.0
196,8.0
197,8.0
198,8.0
199,7.666666666666667
200,7.0
201,7.0
202,8.0
203,8.0
204,8.0
205,9.333333333333334
206,10.333333333333334
207,11.333333333333334
208,12.666666666666666
209,14.0
210,11.666666666666666
211,10.0
212,11.0
213,13.0
214,14.333333333333334
215,15.666666666666666
216,16.333333333333332
217,16.0
218,16.0
219,14.666666666666666
220,13.0
221,13.666666666666666
222,12.666666666666666
223,12.0
224,12.333333333333334
225,13.333333333333334
226,14.0
227,14.0
228,15.0
229,17.0
230,16.333333333333332
231,16.0
232,14.333333333333334
233,15.0
234,16.0
235,17.0
236,17.333333333333332
237,18.0
238,19.0
239,20.0
240,16.0
241,11.333333333333334
242,9.666666666666666
243,12.0
244,14.666666666666666
245,17.0
246,17.0
247,17.333333333333332
248,17.666666666666668
249,16.333333333333332
250,13.0
251,9.333333333333334
252,9.0
253,11.666666666666666
254,12.0
255,12.666666666666666
256,14.0
257,14.333333333333334
258,15.333333333333334
259,18.0
260,16.666666666666668
261,14.666666666666666
262,15.333333333333334
263,17.0
264,17.0
265,17.0
266,17.0
267,17.666666666666668
268,18.0
269,19.0
270,16.333333333333332
271,11.666666666666666
272,10.333333333333334
273,10.666666666666666
274,14.666666666666666
275,18.333333333333332
276,21.333333333333332
277,22.0
278,22.666666666666668
279,21.333333333333332
280,17.666666666666668
281,15.333333333333334
282,13.666666666666666
283,14.333333333333334
284,17.0
285,20.0
286,20.0
287,20.0
288,21.0
289,21.666666666666668
290,20.0
291,19.0
292,18.333333333333332
293,18.0
294,17.0
295,18.0
296,18.333333333333332
297,19.333333333333332
298,20.0
299,20.333333333333332
300,17.0
301,14.0
302,12.666666666666666
303,12.333333333333334
304,15.333333333333334
305,18.0
306,21.666666666666668
307,23.333333333333332
308,22.0
309,19.333333333333332
310,15.0
311,13.333333333333334
312,14.333333333333334
313,14.666666666666666
314,18.0
315,20.333333333333332
316,21.333333333333332
317,22.0
318,22.333333333333332
319,21.666666666666668
320,19.666666666666668
321,18.0
322,17.666666666666668
323,17.0
324,17.0
325,17.333333333333332
326,19.333333333333332
327,21.333333333333332
328,23.0
329,25.666666666666668
330,25.0
331,22.333333333333332
332,23.0
333,24.0
334,22.0
335,19.0
336,16.333333333333332
337,14.0
338,13.666666666666666
339,13.333333333333334
340,12.666666666666666
341,11.333333333333334
342,13.0
343,16.666666666666668
344,18.333333333333332
345,19.666666666666668
346,20.0
347,20.333333333333332
348,21.666666666666668
349,22.333333333333332
350,20.666666666666668
351,18.666666666666668
352,17.0
353,15.333333333333334
354,15.333333333333334
355,15.0
356,15.0
357,15.0
358,16.0
359,17.666666666666668
360,18.666666666666668
361,20.333333333333332
362,23.333333333333332
363,25.0
364,22.666666666666668
365,20.0
366,17.0
367,15.333333333333334
368,15.0
369,14.666666666666666
370,16.333333333333332
371,16.333333333333332
372,19.333333333333332
373,21.666666666666668
374,24.0
375,26.333333333333332
376,27.0
377,27.0
378,28.0
379,28.666666666666668
380,26.0
381,23.0
382,20.0
383,18.666666666666668
384,18.0
385,18.0
386,19.333333333333332
387,21.0
388,22.333333333333332
389,24.0
390,21.666666666666668
391,16.666666666666668
392,13.666666666666666
393,11.333333333333334
394,11.333333333333334
395,14.666666666666666
396,18.666666666666668
397,21.333333333333332
398,23.333333333333332
399,23.333333333333332
400,21.333333333333332
401,18.666666666666668
402,19.666666666666668
403,21.0
404,23.0
405,25.333333333333332
406,26.0
407,26.0
408,26.0
409,25.666666666666668
410,23.0
411,20.0
412,17.666666666666668
413,17.0
414,17.0
415,17.0
416,17.333333333333332
417,19.0
418,20.0
419,21.0
420,18.0
421,14.666666666666666
422,15.0
423,18.333333333333332
424,18.666666666666668
425,17.333333333333332
426,15.666666666666666
427,15.666666666666666
428,16.333333333333332
429,17.333333333333332
430,15.666666666666666
431,14.0
432,11.0
433,9.666666666666666
434,11.333333333333334
435,14.0
436,15.0
437,15.333333333333334
438,15.333333333333334
439,14.666666666666666
440,12.333333333333334
441,12.0
442,12.0
443,12.0
444,12.666666666666666
445,15.0
446,15.0
447,15.666666666666666
448,16.0
449,17.0
450,16.333333333333332
451,16.0
452,17.333333333333332
453,18.0
454,17.0
455,15.333333333333334
456,14.0
457,12.0
458,10.0
459,9.666666666666666
460,9.0
461,7.333333333333333
462,6.333333333333333
463,7.666666666666667
464,9.666666666666666
465,12.0
466,13.0
467,13.0
468,13.333333333333334
469,13.666666666666666
470,14.0
471,14.0
472,14.0
473,14.0
474,14.0
475,15.666666666666666
476,17.0
477,17.666666666666668
478,18.0
479,19.0
480,15.0
481,13.0
482,12.0
483,12.333333333333334
484,14.666666666666666
485,13.666666666666666
486,13.0
487,11.666666666666666
488,9.333333333333334
489,9.0
490,9.0
491,7.333333333333333
492,7.333333333333333
493,9.0
494,10.333333333333334
495,11.0
496,11.0
497,12.333333333333334
498,14.0
499,15.666666666666666
500,14.0
501,14.333333333333334
502,14.0
503,15.0
504,15.666666666666666
505,16.0
506,16.0
507,16.0
508,16.0
509,16.0
510,12.0
511,6.666666666666667
512,5.333333333333333
513,5.333333333333333
514,8.0
515,10.333333333333334
516,13.666666666666666
517,14.0
518,14.0
519,11.666666666666666
520,8.666666666666666
521,7.666666666666667
522,7.666666666666667
523,11.0
524,15.333333333333334
525,16.0
526,17.333333333333332
527,19.333333333333332
528,20.333333333333332
529,21.0
530,19.0
531,18.0
532,19.0
533,19.0
534,19.333333333333332
535,19.0
536,19.0
537,20.0
538,20.0
539,21.0
540,17.0
541,11.666666666666666
542,9.0
543,10.666666666666666
544,16.0
545,14.666666666666666
546,13.333333333333334
547,13.0
548,13.0
549,14.333333333333334
550,14.333333333333334
551,12.666666666666666
552,14.666666666666666
553,16.333333333333332
554,19.333333333333332
555,23.333333333333332
556,25.333333333333332
557,25.0
558,25.666666666666668
559,26.0
560,25.333333333333332
561,23.333333333333332
562,22.666666666666668
563,22.666666666666668
564,23.0
565,23.0
566,23.0
567,23.0
568,23.666666666666668
569,24.0
570,21.0
571,15.666666666666666
572,12.0
573,8.666666666666666
574,6.0
575,5.333333333333333
576,7.333333333333333
577,8.333333333333334
578,10.333333333333334
579,11.0
580,8.333333333333334
581,8.333333333333334
582,12.0
583,18.0
584,21.666666666666668
585,23.333333333333332
586,24.666666666666668
587,25.333333333333332
588,27.0
589,28.666666666666668
590,26.0
591,26.0
592,28.0
593,29.0
594,30.0
595,30.333333333333332
596,31.0
597,32.333333333333336
598,33.333333333333336
599,35.0
600,32.0
601,26.333333333333332
602,25.333333333333332
603,26.0
604,26.666666666666668
605,23.0
606,20.666666666666668
607,18.333333333333332
608,18.666666666666668
609,22.0
610,22.333333333333332
611,20.0
612,19.0
613,18.0
614,24.0
615,28.0
616,29.0
617,29.333333333333332
618,30.666666666666668
619,32.333333333333336
620,31.0
621,28.0
622,26.0
623,25.0
624,25.666666666666668
625,26.0
626,26.666666666666668
627,28.666666666666668
628,32.333333333333336
629,35.0
630,32.666666666666664
631,27.333333333333332
632,25.0
633,23.0
634,25.333333333333332
635,28.666666666666668
636,30.666666666666668
637,32.666666666666664
638,33.0
639,30.666666666666668
640,26.666666666666668
641,24.666666666666668
642,22.0
643,23.0
644,25.333333333333332
645,27.333333333333332
646,28.0
647,28.0
648,28.0
649,28.333333333333332
650,26.0
651,23.0
652,20.666666666666668
653,18.333333333333332
654,18.0
655,18.0
656,18.666666666666668
657,19.0
658,20.0
659,20.0
660,19.333333333333332
661,19.333333333333332
662,18.666666666666668
663,20.666666666666668
664,19.666666666666668
665,16.666666666666668
666,12.0
